151;2018/03/03;21:00;C Silver;Home ;PalaCava;BC GATORS;A.S.DIL. KOLBE;
152;2018/03/04;18:30;Promo;Away;;PGS REBA BASKET A. DIL.;A.D. MARCHESATO EAGLES;
153;2018/03/04;;MINIBASKET;Away;;Raduno SCOIATTOLI a Cuneo;;
154;2018/03/05;18:45;CSI Allievi;Home ;PalaGiolitti - A;BC GATORS ;TOWERS CEVA ;
155;2018/03/07;18:45;CSI Ragazzi;Home ;PalaGiolitti - B;BC GATORS ;ACAJA BASKETBALL SCHOOL ;
156;2018/03/07;19:00;U18 Elite;Away;;A.S. D.TIGULLIO SPORT TEAM;BC GATORS;
157;2018/03/09;19:30;U16 Eccellenza;Away;;NOVIPIU' CASALE;BC GATORS;
158;2018/03/09;21:00;Promo;Home ;PalaCava;A.D. MARCHESATO EAGLES;DON BOSCO RIVOLI;
159;2018/03/09;21:15;C Silver;Away;;EIS GINNASTICA TORINO;BC GATORS;
160;2018/03/09;21:15;CSI Open;Away;;Gs Monviso 1979;BC GATORS;
161;2018/03/10;17:00;U13 Reg;Home ;PalaCava;BC GATORS;AMATORI BASKET SAVIGLIANO ASD;
162;2018/03/11;09:00;Esordienti;Away;;MB AB Savigliano Bianchi;MB Saluzzo;
163;2018/03/11;11:00;U14 Reg;Away;;BASKET GALLIATE A.S.D.;BC GATORS;
164;2018/03/11;17:30;CSI Juniores;Away;;Basket Cairo;BC GATORS ;
165;2018/03/12;18:45;CSI Ragazzi;Away;;GATORS MO.TO.CAR.VIP;BC GATORS ;
166;2018/03/12;20:30;U20 Reg;Home ;PalaGiolitti - A;BC GATORS;A.BASKET CARMAGNOLA A.S.DIL.;
167;2018/03/12;21:00;CSI Open;Home ;PalaGiolitti - B;BC GATORS;Basket Cairo;
168;2018/03/14;17:00;CSI Ragazzi;Away;;VIRTUS BASKET FOSSANO ;BC GATORS ;
169;2018/03/14;20:30;U18 Elite;Home ;PalaCava;BC GATORS;A.DIL. BASKET PEGLI;
170;2018/03/15;18:30;U13 Reg;Away;;ABET BRA;BC GATORS;
171;2018/03/15;18:45;CSI Juniores;Home ;PalaCava;BC GATORS ;Promosport Vignolo Azzurro;
172;2018/03/16;19:30;U16 Eccellenza;Away;;COLLEGE BASKETBALL;BC GATORS;
173;2018/03/17;15:00;CSI Allievi;Away;;VIRTUS BASKET FOSSANO;BC GATORS ;
174;2018/03/17;15:00;U14 Reg;Home ;PalaGiolitti - A;BC GATORS;MY GLASS CHIERI;
175;2018/03/17;21:00;C Silver;Home ;PalaGiolitti - B;BC GATORS;A.DIL. ARONA BASKET;
176;2018/03/18;20:00;Promo;Away;;AD 011 BASKET TORINO;A.D. MARCHESATO EAGLES;
177;2018/03/18;;MINIBASKET;Away;;Raduno SCOIATTOLI a Fossano;;
178;2018/03/19;18:45;CSI Allievi;Home ;PalaCava;BC GATORS ;CUNEO GRANDA BASKET ALLIEVI 2002 ;
179;2018/03/20;18:30;U13 Reg;Away;;ABET LANTEK BRA;BC GATORS;
180;2018/03/21;18:45;CSI Ragazzi;Home ;PalaCava;BC GATORS ;GATORS SAVIGLIANO ;
181;2018/03/22;20:00;U18 Elite;Away;;A.S. DIL. POL. DERTHONA BASKET;BC GATORS;
182;2018/03/23;17:45;Esordienti;Home ;PalaCava;;MB VIRTUS Fossano;
183;2018/03/23;18:15;CSI Juniores;Away;;Amatori Basket Savigliano ;BC GATORS ;
184;2018/03/23;21:00;Promo;Home ;PalaCava;A.D. MARCHESATO EAGLES;BUSSOLENO BASKET;
185;2018/03/23;21:30;CSI Open;Away;;Suv Farigliano;BC GATORS;
186;2018/03/24;15:00;U13 Reg;Home ;PalaGiolitti - A;BC GATORS;ASD B.C. GATORS - SAVIGLIANO;
187;2018/03/24;15:00;U14 Reg;Home ;PalaGiolitti - A;BC GATORS;PGS DON BOSCO CROCETTA A.S.D.;
188;2018/03/24;17:00;U16 Eccellenza;Home ;PalaGiolitti - A;BC GATORS;A.S.D. COLLEGNO BASKET;
189;2018/03/25;18:30;C Silver;Away;;VIMARK CUNEO;BC GATORS;
190;2018/03/26;18:45;CSI Juniores;Home ;PalaGiolitti - A;BC GATORS ;Pgs Victoria Alba Bianco;
191;2018/03/26;20:30;U20 Reg;Home ;PalaGiolitti - A;BC GATORS;DON BOSCO RIVOLI;
192;2018/03/26;21:00;CSI Open;Home ;PalaGiolitti - A;BC GATORS;Gs Monviso 1979;
193;2018/03/28;20:30;U18 Elite;Home ;PalaGiolitti - A;BC GATORS;A.S.D. PALLACANESTRO CIRIE';
194;2018/03/30;21:30;CSI Open;Away;;Cestistica Cherasco DIME;BC GATORS;
